OTU	Taxonomy
Otu0131	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
Otu0132	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	
Otu0133	Bacteria	Acidobacteria	Acidobacteria_Gp3	Gp3	Gp3_unclassified	Gp3_unclassified	
Otu0134	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	
Otu0135	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	
Otu0136	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	
Otu0137	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus	
Otu0138	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	
Otu0139	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	
Otu0140	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
Otu0141	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Catonella	
Otu0142	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified	
Otu0143	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	
Otu0144	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Demequinaceae	Demequina	
Otu0145	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium	
Otu0146	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	
Otu0147	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcaceae_unclassified	
Otu0148	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	
