Core,Otu00001,Otu00002,Otu00003,Otu00004,Otu00005,Otu00006,Otu00008,Otu00009,Otu00010,Otu00012,Otu00013,Otu00014,Otu00015,Otu00016,Otu00018,Otu00019,Otu00022,Otu00023,Otu00024,Otu00025,Otu00027,Otu00028,Otu00029,Otu00030,Otu00032,Otu00033,Otu00035,Otu00036,Otu00038,Otu00039,Otu00040,Otu00041,Otu00044,Otu00045,Otu00046,Otu00047,Otu00048,Otu00049,Otu00050,Otu00051,Otu00052,Otu00053,Otu00054,Otu00058,Otu00059,Otu00061,Otu00064,Otu00067,Otu00068,Otu00069,Otu00071,Otu00073,Otu00076,Otu00078,Otu00079,Otu00081,Otu00083,Otu00084,Otu00086,Otu00090,Otu00091,Otu00093,Otu00094,Otu00095,Otu00096,Otu00105,Otu00108,Otu00110,Otu00120,Otu00123,Otu00127,Otu00128,Otu00131,Otu00132,Otu00145,Otu00153,Otu00155,Otu00157,Otu00162,Otu00165,Otu00169,Otu00177,Otu00181,Otu00185,Otu00189,Otu00191,Otu00197,Otu00200,Otu00205,Otu00208,Otu00211,Otu00217,Otu00225,Otu00240,Otu00243,Otu00250,Otu00252,Otu00258,Otu00259,Otu00310,Otu00315,Otu00334,Otu00338,Otu00371,Otu00380,Otu00386,Otu00422,Otu00516,Otu00755
62.46,0,0,41,0,62,84,80,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,2,0,0,0,12,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,24,0,0
62.5,287,0,56,0,0,0,0,0,0,0,7,0,0,24,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,23,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
62.79,266,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,7,0,0,0,2,0,0,5,0,0,0,0,41,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,89,111,50,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,5,10,0,0,0
62.81,113,0,46,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,19,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,29,79,0,40,0,0,80,0,0,0,0,0,0,0,0,0,21,2,0,0,0,91,0,0,0,0,44,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94.136,0,71,2,0,0,61,0,0,0,33,0,0,2,1,0,0,0,0,2,0,0,1,59,0,0,2,0,18,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,193,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,0,2,0,0,0,0,0,0,0,7,0,12,11,0
94.137,148,0,0,0,0,0,0,81,72,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94.27,0,0,16,0,0,3,0,70,0,69,0,0,0,49,0,4,0,20,0,8,0,3,9,0,0,0,6,0,7,0,0,0,3,5,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,85,7,3,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,6,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,17,0,0,0,3,0,0
94.3,0,186,17,144,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,21,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3
94.5,188,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,17,0,0,0,17,0,0,0,0,2,0,0,52,0,250,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
94.78,0,0,0,0,0,0,0,0,0,0,34,0,5,0,0,0,0,0,0,0,0,42,46,28,0,0,0,21,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,43,0,1,0,6,0,1,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
110.1,0,257,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,32,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110.12,0,72,12,48,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
110.16,81,64,0,0,125,0,0,24,35,0,0,0,0,0,0,0,39,0,0,0,0,3,0,0,0,2,0,0,13,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110.23,0,55,0,0,32,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
110.3,314,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110.58,0,0,0,0,0,0,39,1,0,0,0,0,0,3,36,0,9,1,0,0,0,0,0,2,0,0,0,59,0,0,263,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,16,0,0,4,6,0,3,0,0,0,0,0,0
120.1,0,70,0,45,0,0,0,0,0,4,15,0,0,92,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,53,0,93,0,1,14,0,0,0,9,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,2,0,0,34,0,11,11,0,0,0,0,8,0,5,3,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
120.11,0,0,0,0,41,0,0,0,0,0,1,0,240,0,0,0,0,0,15,0,0,0,0,47,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
120.16,0,0,0,0,0,311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120.23,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.31,0,0,0,0,0,82,17,1,91,54,0,43,11,16,0,0,3,0,1,35,0,6,6,0,0,1,0,0,0,0,0,0,0,15,0,0,0,5,4,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
120.4,0,0,873,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127.15,0,0,0,0,0,0,0,33,0,0,0,0,0,0,19,0,47,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,13,0,0,0,22,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
