OTU,Size,Taxonomy
Otu00053,18262,"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Methylophilales(100);Methylophilaceae(100);Methylophilus(100);"
Otu00054,11714,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00055,9506,"Bacteria(100);""Armatimonadetes""(100);Armatimonadia(100);Armatimonadales(100);Armatimonadaceae(100);Armatimonas_Armatimonadetes_gp1(100);"
Otu00056,7281,"Bacteria(100);""Acidobacteria""(100);Acidobacteria_Gp6(100);Acidobacteria_Gp6_order_incertae_sedis(100);Acidobacteria_Gp6_family_incertae_sedis(100);Gp6(100);"
Otu00057,18975,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Jeotgalicoccus(100);
Otu00058,7940,"Bacteria(100);""Proteobacteria""(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Sulfurospirillum(100);"
Otu00059,10616,"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiales_incertae_sedis(88);Aquabacterium(87);"
Otu00060,15955,"Bacteria(100);""Verrucomicrobia""(100);Spartobacteria(100);Spartobacteria_order_incertae_sedis(100);Spartobacteria_family_incertae_sedis(100);Spartobacteria_genera_incertae_sedis(100);"
Otu00061,8281,"Bacteria(100);""Acidobacteria""(100);Holophagae(100);Holophagales(100);Holophagaceae(100);Holophaga(98);"
Otu00062,10317,"Bacteria(100);""Bacteroidetes""(100);Flavobacteria(100);""Flavobacteriales""(100);Flavobacteriaceae(100);Flavobacterium(100);"
Otu00063,10575,"Bacteria(100);""Bacteroidetes""(100);Flavobacteria(100);""Flavobacteriales""(100);Cryomorphaceae(100);Fluviicola(100);"
Otu00064,11413,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00065,6618,"Bacteria(100);""Bacteroidetes""(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00066,11717,"Bacteria(100);""Acidobacteria""(100);Acidobacteria_Gp3(100);Acidobacteria_Gp3_order_incertae_sedis(100);Acidobacteria_Gp3_family_incertae_sedis(100);Gp3(100);"
Otu00067,6278,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(91);unclassified(91);unclassified(91);unclassified(91);"
Otu00068,8510,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu00069,13463,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00070,3293,"Bacteria(100);""Actinobacteria""(100);Actinobacteria(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00071,8430,"Bacteria(100);""Verrucomicrobia""(100);Subdivision3(100);Subdivision3_order_incertae_sedis(100);Subdivision3_family_incertae_sedis(100);3_genus_incertae_sedis(100);"
Otu00072,6603,"Bacteria(100);""Bacteroidetes""(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00073,6672,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00074,5598,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Paenibacillaceae_2(100);Aneurinibacillus(100);
Otu00075,7776,"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Rhizobiales(100);unclassified(100);unclassified(100);"
Otu00076,6936,"Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Porphyromonadaceae""(100);Paludibacter(100);"
Otu00077,10033,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);"
Otu00078,8615,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00079,7656,"Bacteria(100);""Actinobacteria""(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);Arthrobacter(98);"
Otu00080,5522,"Bacteria(100);""Planctomycetes""(100);""Planctomycetacia""(100);Planctomycetales(100);Planctomycetaceae(100);unclassified(100);"
Otu00081,8112,"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(89);unclassified(89);"
Otu00082,382,"Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(87);""Bacteroidales""(87);unclassified(87);unclassified(87);"
Otu00083,5248,"Bacteria(100);""Bacteroidetes""(100);Flavobacteria(100);""Flavobacteriales""(100);Flavobacteriaceae(100);Elizabethkingia(100);"
Otu00084,7515,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Haemophilus(68);"
Otu00085,2192,"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);Chitinophagaceae(100);unclassified(100);"
Otu00086,4025,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);unclassified(100);unclassified(100);
Otu00087,5253,Bacteria(100);Firmicutes(98);unclassified(98);unclassified(98);unclassified(98);unclassified(98);
Otu00088,2693,"Bacteria(100);""Bacteroidetes""(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00089,5380,"Bacteria(100);""Bacteroidetes""(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00090,4729,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00091,5850,"Bacteria(100);""Acidobacteria""(100);Acidobacteria_Gp3(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00092,7448,"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Bdellovibrionales(100);Bdellovibrionaceae(100);Bdellovibrio(100);"
Otu00093,2211,"Bacteria(100);""Bacteroidetes""(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00094,5709,"Bacteria(100);""Verrucomicrobia""(100);Verrucomicrobiae(100);Verrucomicrobiales(100);Verrucomicrobiaceae(100);unclassified(100);"
Otu00095,8688,"Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Porphyromonadaceae""(100);Paludibacter(100);"
Otu00096,6793,"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);Cytophagaceae(100);Cytophaga(100);"
Otu00097,5163,"Bacteria(100);""Actinobacteria""(100);Actinobacteria(100);Acidimicrobiales(100);""Acidimicrobineae""_incertae_sedis(100);Aciditerrimonas(100);"
Otu00098,5607,"Bacteria(100);""Bacteroidetes""(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00099,7737,"Bacteria(100);""Acidobacteria""(100);Acidobacteria_Gp6(100);Acidobacteria_Gp6_order_incertae_sedis(100);Acidobacteria_Gp6_family_incertae_sedis(100);Gp6(100);"
Otu00100,7855,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00101,4047,"Bacteria(100);""Proteobacteria""(100);unclassified(95);unclassified(95);unclassified(95);unclassified(95);"
Otu00102,5299,"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Rhizobiales(100);Phyllobacteriaceae(100);unclassified(100);"
Otu00103,5280,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);"
Otu00104,121,"Bacteria(100);""Bacteroidetes""(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00105,4623,"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);Sphingobacteriaceae(100);Mucilaginibacter(100);"
Otu00106,7850,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00107,6270,"Bacteria(100);""Planctomycetes""(100);""Planctomycetacia""(100);Planctomycetales(100);Planctomycetaceae(100);Planctomyces(100);"
Otu00108,3718,"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Rhodocyclales(100);Rhodocyclaceae(100);Dechloromonas(100);"
Otu00109,323,"Bacteria(100);""Verrucomicrobia""(90);unclassified(90);unclassified(90);unclassified(90);unclassified(90);"
Otu00110,3144,"Bacteria(100);""Bacteroidetes""(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00111,7108,"Bacteria(100);""Bacteroidetes""(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00112,4817,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00113,2838,"Bacteria(100);""Actinobacteria""(100);Actinobacteria(100);Actinomycetales(100);unclassified(100);unclassified(100);"
Otu00114,5598,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00115,8254,"Bacteria(100);""Planctomycetes""(100);""Planctomycetacia""(100);Planctomycetales(100);Planctomycetaceae(100);unclassified(100);"
Otu00116,6089,"Bacteria(100);""Bacteroidetes""(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00117,6583,"Bacteria(100);""Verrucomicrobia""(100);Spartobacteria(100);Spartobacteria_order_incertae_sedis(100);Spartobacteria_family_incertae_sedis(100);Spartobacteria_genera_incertae_sedis(100);"
Otu00118,5051,"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Sphingomonadales(100);unclassified(89);unclassified(89);"
Otu00119,2065,"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);Cytophagaceae(99);unclassified(99);"
Otu00120,5752,"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Bdellovibrionales(100);Bacteriovoracaceae(100);Bacteriovorax(100);"
Otu00121,5694,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00122,2175,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);unclassified(100);
Otu00123,3872,"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Methylophilales(85);Methylophilaceae(85);Methylophilus(55);"
Otu00124,7886,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00125,4636,"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Chitinilyticum(100);"
Otu00126,3960,"Bacteria(100);""Bacteroidetes""(100);Flavobacteria(100);""Flavobacteriales""(100);Flavobacteriaceae(100);Flavobacterium(100);"
Otu00127,5361,Bacteria(100);unclassified(66);unclassified(66);unclassified(66);unclassified(66);unclassified(66);
Otu00128,3640,"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00129,1226,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00130,2725,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Alteromonadales(100);Alteromonadaceae(100);Haliea(100);"
Otu00131,3184,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00132,4039,"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Rhizobiales(100);Methylobacteriaceae(100);Methylobacterium(100);"
Otu00133,1185,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Legionellales(100);Legionellaceae(100);Legionella(100);"
Otu00134,3454,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(99);unclassified(99);unclassified(99);unclassified(99);"
Otu00135,2909,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
